id,rank,display,pos,gloss,example,verdict,note
fr:sujet:NOUN,302,le sujet,NOUN,"subject, topic",C'est un bon sujet.,,
fr:match:NOUN,322,le match,NOUN,"match, game",Il voit le match.,,
fr:santé:NOUN,355,la santé,NOUN,health,La santé est importante.,,
fr:juillet:NOUN,365,juillet,NOUN,July,Il fait beau en juillet.,,
fr:droite:NOUN,373,la droite,NOUN,right (side),C'est à droite.,,
fr:envie:NOUN,381,l'envie,NOUN,"desire, urge",J'ai envie de partir.,,
fr:derrière:ADP,406,derrière,ADP,behind,Il reste derrière la maison.,,
fr:condition:NOUN,440,la condition,NOUN,condition,C'est la même condition.,,
fr:esprit:NOUN,441,l'esprit,NOUN,"mind, spirit",C'est dans mon esprit.,,
fr:espérer:VERB,442,espérer,VERB,to hope,J'espère que oui.,,
fr:noir:ADJ,448,noir,ADJ,black,C'est noir.,,
fr:regarder:VERB,451,regarder,VERB,to watch,Il regarde le film.,,
fr:février:NOUN,455,février,NOUN,February,Nous sommes en février.,,
fr:perdre:VERB,460,perdre,VERB,to lose,J'ai perdu mon temps.,,
fr:risque:NOUN,462,le risque,NOUN,risk,C'est un grand risque.,,
fr:vieux:ADJ,471,vieux,ADJ,old,Cet homme est vieux.,,
fr:hors:ADP,499,hors (de),ADP,outside (of),Il est hors de question.,,
fr:poste:NOUN,503,le poste,NOUN,"job, position; post",Il a un nouveau poste.,,
fr:demi:ADJ,536,demi,ADJ,half,Il est trois heures et demie.,,
fr:sein:NOUN,545,le sein,NOUN,breast; within (au sein de),Il reste au sein de sa famille.,,
fr:bureau:NOUN,549,le bureau,NOUN,"office, desk",Il est au bureau.,,
fr:accès:NOUN,563,l'accès,NOUN,access,Il a accès à internet.,,
fr:lit:NOUN,568,le lit,NOUN,bed,Je suis dans mon lit.,,
fr:bras:NOUN,578,le bras,NOUN,arm,Il a mal au bras.,,
fr:domaine:NOUN,592,le domaine,NOUN,"domain, field",C'est son domaine.,,
fr:matière:NOUN,609,la matière,NOUN,"subject, matter",C'est une autre matière.,,
fr:cœur:NOUN,621,le cœur,NOUN,heart,Elle a un grand cœur.,,
fr:information:NOUN,624,l'information,NOUN,information,C'est une bonne information.,,
fr:mission:NOUN,626,la mission,NOUN,mission,C'est une mission importante.,,
fr:samedi:NOUN,649,samedi,NOUN,Saturday,On se voit samedi.,,
fr:église:NOUN,654,l'église,NOUN,church,L'église est grande.,,
fr:défense:NOUN,657,la défense,NOUN,defense,La défense est importante.,,
fr:solution:NOUN,668,la solution,NOUN,solution,Il cherche une solution.,,
fr:assemblée:NOUN,671,l'assemblée,NOUN,assembly,L'assemblée est importante.,,
fr:avenir:NOUN,683,l'avenir,NOUN,future,Il pense à l'avenir.,,
fr:discours:NOUN,687,le discours,NOUN,speech,Il fait un discours.,,
fr:prison:NOUN,694,la prison,NOUN,prison,Il est en prison.,,
fr:avance:NOUN,701,l'avance,NOUN,"lead, advance",Il est en avance.,,
fr:ceci:PRON,702,ceci,PRON,this,Ceci est vrai.,,
fr:grave:ADJ,708,grave,ADJ,serious,Ce n'est pas grave.,,
fr:faible:ADJ,747,faible,ADJ,weak,Il est trop faible.,,
fr:neuf:NUM,752,neuf,NUM,nine,Il a neuf ans.,,
fr:con:ADJ,763,con,ADJ,"stupid, dumb (vulgar)",C'est vraiment con.,,
fr:différence:NOUN,767,la différence,NOUN,difference,Je vois la différence.,,
fr:mètre:NOUN,774,le mètre,NOUN,meter (unit),La route fait dix mètres.,,
fr:vote:NOUN,813,le vote,NOUN,vote,Le vote est important.,,
fr:écouter:VERB,814,écouter,VERB,to listen,"Écoute, j'ai une idée.",,
fr:banque:NOUN,818,la banque,NOUN,bank,Il travaille à la banque.,,
fr:ferme:ADJ,822,ferme,ADJ,"firm, steady",Il a une position ferme.,,
fr:pose:NOUN,826,la pose,NOUN,"pose, posture",Il prend une pose pour la photo.,,
fr:véritable:ADJ,830,véritable,ADJ,"genuine, true",C'est une véritable histoire.,,
fr:professeur:NOUN,840,le professeur,NOUN,"teacher, professor",Le professeur parle.,,
fr:hiver:NOUN,847,l'hiver,NOUN,winter,L'hiver arrive.,,
fr:religion:NOUN,855,la religion,NOUN,religion,La religion est importante.,,
fr:volonté:NOUN,858,la volonté,NOUN,"willpower, will",Il a de la volonté.,,
fr:regard:NOUN,867,le regard,NOUN,"gaze, look",Son regard est beau.,,
fr:science:NOUN,870,la science,NOUN,science,La science est importante.,,
fr:souhaiter:VERB,871,souhaiter,VERB,to wish,Je souhaite bonne chance.,,
fr:week-end:NOUN,891,le week-end,NOUN,weekend,Le week-end est là.,,
fr:chaîne:NOUN,893,la chaîne,NOUN,chain; channel (TV),Il change de chaîne.,,
fr:divers:ADJ,899,divers,ADJ,"various, diverse",Il y a des sujets divers.,,
fr:privé:ADJ,910,privé,ADJ,private,C'est un moment privé.,,
fr:rapide:ADJ,912,rapide,ADJ,"fast, quick",Il est rapide.,,
fr:bébé:NOUN,920,le bébé,NOUN,baby,Le bébé est petit.,,
fr:victime:NOUN,932,la victime,NOUN,victim,Elle est la victime.,,
fr:prince:NOUN,950,le prince,NOUN,prince,Le prince est jeune.,,
fr:surprise:NOUN,959,la surprise,NOUN,surprise,C'est une surprise !,,
fr:acte:NOUN,961,l'acte,NOUN,"act, deed",C'est un acte important.,,
fr:salut:INTJ,977,salut,INTJ,"hi, bye","Salut, comment vas-tu ?",,
fr:candidat:NOUN,982,le candidat,NOUN,candidate,Il est un bon candidat.,,
fr:mérite:NOUN,988,le mérite,NOUN,merit,C'est un grand mérite.,,
fr:entrer:VERB,996,entrer,VERB,to enter,Il veut entrer dans la maison.,,
